OTUID,A,B,stat,p.value,Group,Domain,Phylum,Phylum_mod,Class,Order,Family,Genus,Species,OTUID.1, cummulative_abund,P26.2010.06.10m,P26.2010.06.25m,P26.2010.06.50m,P26.2010.06.100m,P26.2010.08.10m,P26.2010.08.25m,P26.2010.08.50m,P26.2010.08.100m,P26.2011.02.10m,P26.2011.02.25m,P26.2011.02.50m,P26.2011.02.100m,P26.2011.06.10m,P26.2011.06.25m,P26.2011.06.50m,P26.2011.06.100m,P26.2011.08.10m,P26.2011.08.25m,P26.2011.08.50m,P26.2011.08.100m,P26.2012.02.10m,P26.2012.02.25m,P26.2012.02.50m,P26.2012.02.100m,P26.2012.06.10m,P26.2012.06.25m,P26.2012.06.50m,P26.2012.06.100m,P26.2012.08.10m,P26.2012.08.25m,P26.2012.08.50m,P26.2012.08.100m,P26.2013.02.10m,P26.2013.02.25m,P26.2013.02.50m,P26.2013.02.100m,P26.2013.06.10m,P26.2013.06.25m,P26.2013.06.50m,P26.2013.06.100m,P26.2013.08.10m,P26.2013.08.50m,P26.2014.02.10m,P26.2014.02.25m,P26.2014.02.50m,P26.2014.02.100m,P26.2014.06.10m,P26.2014.06.25m,P26.2014.06.50m,P26.2014.08.10m,P26.2014.08.25m,P26.2014.08.50m,P26.2014.08.100m,P26.2015.02.10m,P26.2015.02.25m,P26.2015.02.50m,P26.2015.02.100m,P26.2015.06.10m,P26.2015.06.25m,P26.2015.06.50m,P26.2015.06.100m,P26.2015.08.10m,P26.2015.08.25m,P26.2015.08.50m,P26.2015.08.100m,P26.2016.02.10m,P26.2016.02.25m,P26.2016.02.50m,P26.2016.02.100m
OTU_341,0.7874,0.9756,0.876,0.035,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Ambiguous_taxa,OTU_341,0.112551245,0.00091386,0.00098936,0.000671252,1.68E-05,5.31E-05,8.40E-05,0.001227215,0.001386649,0.000148768,0.000192896,0.00018661,0.000189692,0.000527626,0.000581718,0.000626506,0.001457244,0,5.17E-05,0.000498205,0.000251241,0.000214221,0.000238359,0.000336127,0.00130803,0.000368815,0.000413305,0.000626665,0.000245786,7.83E-05,0.000591429,0.019740712,0.005272408,0.000554758,0.000397129,0.000464006,0.000340202,0.008147298,0.006924821,0.006166004,0.00333482,9.69E-06,0.000109738,0.000105096,8.93E-05,0.000518976,0.000433987,0.000183588,0.000128775,6.41E-05,7.76E-05,5.97E-05,0.000920777,0.000693679,6.40E-05,5.09E-05,0.000144441,8.72E-05,0.000928071,0.002675352,0.000260077,6.49E-05,7.76E-06,2.83E-05,0.000916256,0.000529944,0.000843165,0.000556801,0.000784852,0.000505697
OTU_1166,0.7722,0.9268,0.846,0.003,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,uncultured bacterium,OTU_1166,0.003018251,1.19E-05,3.73E-05,3.10E-05,1.68E-05,3.54E-05,5.35E-05,5.05E-05,9.43E-06,0.000195258,0.000105216,9.33E-05,3.61E-05,0,1.74E-05,5.40E-05,1.50E-05,0.000160128,8.27E-05,9.40E-06,8.66E-06,4.46E-05,0,6.51E-05,1.11E-05,3.07E-05,2.70E-05,0,5.12E-06,0.00018259,0.000106961,2.01E-05,1.42E-05,4.27E-05,2.17E-05,3.09E-05,9.19E-06,1.96E-05,1.16E-05,6.55E-06,2.07E-05,1.45E-05,3.87E-05,0,5.58E-06,6.11E-06,0,1.31E-05,2.45E-05,7.12E-06,0,7.46E-06,1.79E-05,7.71E-06,4.27E-05,2.55E-05,1.52E-05,4.90E-05,1.21E-05,0,2.89E-05,5.40E-06,0,0,7.16E-06,1.37E-05,2.57E-05,0,1.52E-05,5.95E-06
OTU_48,0.7044,1,0.839,0.002,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,Ambiguous_taxa,Ambiguous_taxa,OTU_48,0.768341404,0.006171521,0.007326862,0.007518021,0.000344581,0.021961673,0.0283377,0.014907056,0.00135835,0.00497443,0.00444538,0.004181758,0.00400159,0.01526964,0.01215531,0.018503516,0.008435491,0.018873766,0.017991377,0.026724446,0.003673317,0.001713765,0.002095919,0.001832435,0.002028555,0.003934023,0.004770975,0.003759987,0.00257051,0.009801172,0.018768443,0.007535352,0.000869235,0.004640767,0.004765549,0.00567634,0.00468467,0.028196908,0.026949241,0.017973803,0.005191532,0.009158929,0.02134719,0.001724525,0.001629637,0.002002638,0.001730084,0.007094384,0.006193469,0.006789974,0.005529614,0.003967899,0.010200299,0.000955736,0.001983647,0.00223165,0.001588846,0.000849724,0.00888037,0.012630945,0.009264504,0.000594479,0.004594276,0.004492812,0.010565573,0.002663426,0.001808621,0.001701338,0.001447785,0.001618229
OTU_640,0.8102,0.8293,0.82,0.007,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,uncultured alpha proteobacterium,OTU_640,0.025243287,2.37E-05,0,1.03E-05,0,0,0,0.000779643,0.000962164,9.30E-06,4.38E-05,6.79E-05,2.71E-05,3.15E-05,1.74E-05,0.000108018,0.001269455,0,0,0.000394804,0.000909666,0.000160666,0.000156167,0.000292756,0.00035472,0.000112693,0.000161728,0.000111904,0.001285255,0,1.26E-05,0.00199066,0.001453475,0.000277379,0.000231057,0.000257781,0.000234463,0.000107846,8.72E-05,0.001212232,0.001249909,0,0.000684246,4.30E-05,3.35E-05,4.27E-05,2.35E-05,2.62E-05,2.45E-05,0.000163871,0,0,5.98E-06,0.000131028,0,2.55E-05,3.04E-05,1.09E-05,2.43E-05,8.90E-05,0.000814906,5.94E-05,0,0,1.43E-05,0.000274109,0.000102982,0.000131467,0.000167638,8.92E-05
OTU_91,0.6628,1,0.814,0.027,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Ambiguous_taxa,Ambiguous_taxa,OTU_91,0.561174545,0.008960573,0.010313608,0.008282215,0.000159684,0.016666076,0.014207041,0.006670276,0.001622473,0.001841004,0.001657153,0.001984851,0.001643994,0.003173628,0.00319511,0.003391771,0.001374617,0.040138778,0.025684241,0.008864282,0.000857685,0.001526322,0.001463034,0.001789064,0.00128586,0.005952259,0.005534691,0.00382713,0.003538291,0.026306008,0.023663464,0.006404295,0.001225479,0.002357723,0.001270813,0.00202616,0.000717182,0.006480583,0.004488633,0.002214781,0.001327704,0.019728043,0.006248588,0.002732488,0.003599712,0.002967323,0.002861969,0.004766744,0.00505289,0.004752269,0.006176353,0.00734658,0.002624813,0.000685971,0.000718095,0.001128553,0.00088945,0.000757126,0.004579699,0.00712971,0.00343879,0.00042154,0.009002297,0.010505253,0.007466052,0.001530442,0.001905166,0.001322404,0.001516364,0.001267216
OTU_61,0.642,1,0.801,0.001,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,,OTU_61,0.826728257,0.023309359,0.024584656,0.01971415,0.000378199,0.009634799,0.009074175,0.007897491,0.006725717,0.005848443,0.005839493,0.00714207,0.004651961,0.014222264,0.017390776,0.011838794,0.010726519,0.00412063,0.006896694,0.009127484,0.00380327,0.0036239,0.003542514,0.004066054,0.004023855,0.016125397,0.017053316,0.015398044,0.005120537,0.007531839,0.009035026,0.017282548,0.003638436,0.008822792,0.01173336,0.009048117,0.009649776,0.021824171,0.020745392,0.005753189,0.004600288,0.011431701,0.004337863,0.003549369,0.003342988,0.003455771,0.002064371,0.008202472,0.010351065,0.005849495,0.008847383,0.005996599,0.006224215,0.000763047,0.007856381,0.006245227,0.009669915,0.002935906,0.007709665,0.008819766,0.007888988,0.001702371,0.00658099,0.006531568,0.013929949,0.005418222,0.002593858,0.002366406,0.002720311,0.00151114
OTU_67,0.6522,0.9756,0.798,0.01,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,OTU_67,0.442361394,0.001970139,0.002277394,0.002044736,0.002496113,0,0.000129849,0.004663418,0.008970767,0.005894933,0.006716294,0.007922438,0.005338464,0.00048825,0.000764048,0.001760697,0.009689922,1.07E-05,1.03E-05,0.002350022,0.007104057,0.006408769,0.005934328,0.007177941,0.009455505,0.003975003,0.003908426,0.005930933,0.008720275,6.52E-06,5.03E-05,0.01492995,0.015337482,0.014178344,0.013856196,0.013100437,0.012215081,0.001176505,0.001064015,0.00779105,0.009553248,3.88E-05,0.001129652,0.003042998,0.002712341,0.003278709,0.002914751,0.00062289,0.000631611,0.005692748,0.0002975,0.000305797,0.002086697,0.007175724,0.002460007,0.002630462,0.003398154,0.003513282,0.000248699,0.000287378,0.003161375,0.004901749,0.00012417,2.83E-05,0.003486066,0.008204997,0.004370297,0.004377078,0.004046177,0.004688104
OTU_205,0.7373,0.8537,0.793,0.005,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,Ambiguous_taxa,OTU_205,0.05113078,0.000106815,1.87E-05,4.13E-05,8.40E-06,8.86E-06,1.53E-05,0.002504963,0.001820566,0.00027894,0.000341952,0.000356255,0.00030712,3.15E-05,3.47E-05,0.000108018,0.00239619,0,0,2.82E-05,0.000883675,0.000937215,0.000731517,0.000878268,0.00117501,0.000122938,0.000152743,0.000268571,0.001612969,0,0,0.001477914,0.00170047,0.002096347,0.002917094,0.001593087,0.002055002,1.96E-05,0,0.000622498,0.000917983,0,6.46E-06,0.000329618,0.000334857,0.000268647,0.00038707,0,0,5.70E-05,0,0,0.000179372,0.000123321,0.000405261,0.000203649,0.000456128,0.000239666,0,0,4.05E-05,5.94E-05,0,0,0,0.001443641,0.000547092,0.000417601,0.000662933,0.000547342
OTU_656,0.9352,0.6341,0.77,0.001,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,,OTU_656,0.001253025,0,9.33E-06,0,1.68E-05,0,0,4.33E-05,7.55E-05,0,0,1.70E-05,9.03E-06,7.88E-06,0,0,6.76E-05,1.07E-05,2.07E-05,9.40E-06,5.20E-05,2.68E-05,8.22E-06,4.34E-05,4.43E-05,1.02E-05,0,2.24E-05,0,0,6.29E-06,1.01E-05,0.000104498,4.27E-05,0.000122749,5.16E-06,4.60E-06,0,5.81E-06,0,3.11E-05,0,0,0,2.23E-05,0,0,0,0,7.12E-06,0,0,0,0,0,0,7.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1035,0.5857,1,0.765,0.022,No,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,,,OTU_1035,0.121452688,0.000462864,0.000532014,0.000722887,0.000344581,0.000230243,0.001061709,0.003161884,0.001650772,0.000939098,0.000982017,0.001204482,0.00083103,0.0003465,0.000538307,0.001090984,0.002786792,0.001355751,0.001240785,0.001560414,0.001022291,0.001785172,0.001997288,0.001940863,0.001274775,0.000809343,0.000700821,0.000738569,0.001577126,0.000358659,0.000660639,0.003297659,0.001173229,0.00306184,0.002130056,0.002608745,0.001503324,0.000872575,0.000744229,0.001690573,0.001908575,0.001642792,0.002736985,0.001605098,0.001456628,0.001105114,0.000856245,0.000596663,0.000502836,0.000990353,0.000407445,0.000305797,0.001470852,0.001063641,0.001045148,0.00117098,0.000935063,0.001225564,0.000467069,0.000314747,0.000681978,0.000626905,0.000543242,0.001293099,0.001188269,0.003001494,0.001300147,0.000657335,0.00096773,0.000743671
