Cruise,Cruisetrans,Station,Sample,Depth,Cat_Depth,Cyanobacteria,Chlorophytes,Prasinophytes,Cryptophytes,Diatom_2,Dinoflage_1,Pelagophytes,Haptophytes,Chlorophyll.mg.m3,Cyanobacteria.mg.m3,Chlorophytes.mg.m3,Prasinophytes.mg.m3,Cryptophytes.mg.m3,Diatom_2.mg.m3,Dinoflage_1.mg.m3,Pelagophytes.mg.m3,Haptophytes.mg.m3
2010-13,P26.2010.06.10m,P26,345-A,5,10,0.078509219,0.009027488,0.072770095,0,0.026622965,0,0.118785679,0.694284558,0.372,0.029180587,0.003355369,0.027047449,0,0.009895319,0,0.044150686,0.258054169
2010-13,P26.2010.06.10m,P26,345-B,5,10,0.072109929,0.010647139,0.05767318,0.00056017,0.026593087,0.000225991,0.106597378,0.72559311,0.303,0.021832268,0.003223567,0.017461345,0.000169599,0.008051421,6.8422E-05,0.032273816,0.219683249
2010-13,P26.2010.06.10m,P26,344-A,10,10,0.068355722,0.009907124,0.060932783,0.001080322,0.014169147,0.000422022,0.121032736,0.724100133,0.414,0.02831843,0.004104326,0.025243253,0.000447556,0.005869999,0.000174835,0.05014148,0.299980434
2010-13,P26.2010.06.10m,P26,344-B,10,10,0.066795965,0.010802958,0.068537888,0.000207018,0.022707514,8.3521E-05,0.1219776,0.708887547,0.425,0.028373195,0.004588816,0.029113119,8.79359E-05,0.009645563,3.54776E-05,0.051812923,0.301117058
2010-13,P26.2010.06.25m,P26,341-A,25,25,0.061393719,0.012187199,0.079759595,0.001390616,0.035837779,0.000572274,0.119710439,0.689148357,0.455,0.027947325,0.005547793,0.036307742,0.000633029,0.016313885,0.000260508,0.054493955,0.313710479
2010-13,P26.2010.06.25m,P26,341-B,25,25,0.063207183,0.011027431,0.063650649,0.000631599,0.039996695,0.000269954,0.1107219,0.710494608,0.439,0.02775389,0.004842078,0.027948613,0.000277331,0.017562306,0.000118535,0.048617313,0.311973863
2010-14,P26.2010.08.10m,P26,443-A,5,10,0,0.198506067,0.025074559,0,0.01066901,0.112457613,0.092401077,0.560891663,0.364,0,0.072209303,0.009121215,0,0.003880998,0.040907998,0.033612159,0.204032031
2010-14,P26.2010.08.10m,P26,443-B,5,10,0,0.222384581,0.02004673,0,0.006766571,0.142099056,0.082704701,0.525998359,0.400,0,0.088996792,0.008022564,0,0.002707936,0.056867073,0.033097857,0.210500954
2010-14,P26.2010.08.25m,P26,442-A,20,25,0,0.244048749,0.026204792,0,0.000309966,0.12005592,0.073003403,0.536377182,0.390,0,0.09521456,0.010223686,0,0.000120932,0.046839296,0.028481961,0.209265229
2010-14,P26.2010.08.25m,P26,442-B,20,25,0,0.272571685,0.030856279,0,0,0.129293325,0.069678768,0.497599935,0.422,0,0.115022196,0.013021004,0,0,0.054560334,0.029403659,0.209981596
2010-14,P26.2010.08.25m,P26,435-A,30,25,0,0,0.137979851,0,0.000377504,0.159930433,0.061578512,0.640133729,0.423,0,0,0.058391222,0,0.000159755,0.067680414,0.0260592,0.270896008
2010-14,P26.2010.08.25m,P26,435-B,30,25,0,0,0.123460321,0,0,0.162229737,0.07109031,0.64321962,0.400,0,0,0.049422116,0,0,0.06494181,0.028457997,0.257485758
