year,month,day,hour,min
2010,6,13,22,35
2010,6,17,23,4
2010,8,26,23,29
2010,8,27,5,30
2011,2,15,23,33
2011,6,12,15,21
2011,8,26,16,22
2012,2,15,19,50
2012,6,2,0,17
2012,6,4,3,33
2012,8,24,12,49
2012,8,25,5,37
2013,2,12,20,31
2013,6,16,15,49
2013,6,17,1,41
2013,6,18,6,56
2013,8,31,11,33
2013,8,31,20,1
2014,2,19,19,24
2014,6,17,12,31
2014,6,19,11,37
2014,8,28,19,51
2014,8,29,11,35
2015,2,18,10,14
2015,2,18,22,45
2015,2,19,10,20
2015,6,16,2,18
2015,6,17,4,56
2015,8,28,13,56
2016,2,16,9,14
