Date, mean T 10-100m, std T 10-100m
2010/06/13 20:25, 6.8, 0.72
2010/06/13 21:26, 6.7, 0.76
2010/06/13 22:35, 6.7, 0.79
2010/06/14 03:01, 6.8, 0.73
2010/06/14 07:10, 6.6, 0.83
2010/06/14 23:45, 6.6, 0.88
2010/06/16 22:03, 6.8, 0.84
2010/06/17 01:41, 6.7, 0.84
2010/06/17 03:37, 6.7, 0.84
2010/06/17 05:49, 6.7, 0.83
2010/06/17 07:37, 6.8, 0.81
2010/06/17 12:07, 6.8, 0.88
2010/06/17 23:04, 6.8, 0.86
2010/08/26 19:04, 9, 2.8
2010/08/26 22:12, 8.1, 2.2
2010/08/26 23:29, 8.4, 2.7
2010/08/27 03:36, 8.2, 2.4
2010/08/27 05:30, 8.6, 2.7
2010/08/27 08:34, 8.1, 2.4
2010/08/27 16:58, 8.4, 2.5
2010/08/27 19:04, 8.6, 2.8
2010/08/27 21:01, 8.5, 2.7
2010/08/27 21:30, 8.4, 2.6
2010/08/27 23:02, 8.7, 2.6
2010/08/28 01:04, 8.5, 2.5
2010/08/28 03:07, 8.3, 2.6
2010/08/28 05:00, 8.5, 2.7
2010/08/28 07:03, 8.5, 2.8
2010/08/28 08:58, 8.3, 2.8
2010/08/28 10:57, 8.1, 2.2
2010/08/28 12:54, 8.7, 2.5
2010/08/28 15:00, 8.2, 2.4
2010/08/28 16:55, 8.8, 2.8
2010/08/28 18:58, 8.6, 3
2010/08/28 21:00, 8.7, 2.7
2010/08/28 22:58, 8.2, 2.2
2011/02/15 23:33, 5.6, 0.073
2011/06/11 10:59, 6.4, 1.2
2011/06/11 14:51, 6.6, 1.1
2011/06/12 00:42, 6.4, 1.1
2011/06/12 02:34, 6.6, 1.1
2011/06/12 03:59, 6.6, 1.1
2011/06/12 12:49, 6.3, 1.2
2011/06/12 15:21, 6.4, 1.2
2011/06/12 23:00, 6.1, 1.1
2011/06/13 04:50, 6.8, 1.1
2011/06/13 19:41, 6.4, 1.3
2011/08/26 10:04, 7.5, 3.5
2011/08/26 16:22, 8.2, 3.5
2011/08/26 20:57, 7.6, 3.5
2011/08/26 23:39, 7.9, 3.4
2011/08/27 01:48, 8.3, 3.5
2011/08/27 02:39, 8, 3.5
2012/02/15 08:36, 5.5, 0.0016
2012/02/15 11:57, 5.5, 0.0011
2012/02/15 14:48, 5.5, 0.018
2012/02/15 16:20, 5.5, 0.0081
2012/02/15 18:48, 5.5, 0.0062
2012/02/15 19:50, 5.5, 0.0021
2012/02/16 05:45, 5.6, 0.0084
2012/06/01 22:21, 5.9, 0.47
2012/06/02 00:17, 5.4, 0.68
2012/06/02 08:28, 5.5, 0.66
2012/06/02 15:28, 5.8, 0.56
2012/06/02 22:55, 5.7, 0.63
2012/06/02 23:57, 5.7, 0.58
2012/06/03 02:23, 5.8, 0.56
2012/06/03 04:12, 5.9, 0.45
2012/06/03 13:44, 5.6, 0.7
2012/06/04 03:33, 5.8, 0.56
2012/06/04 11:33, 5.3, 0.83
2012/06/04 12:38, 5.4, 0.74
2012/08/24 12:49, 7.1, 2.9
2012/08/24 18:45, 7.2, 3
2012/08/24 19:32, 7.3, 3
2012/08/24 21:45, 7.4, 3
2012/08/25 05:37, 6.8, 3
2012/08/25 10:46, 7.4, 3.2
2012/08/25 16:07, 6.8, 3.1
2013/02/12 19:27, 5.4, 0.0011
2013/02/12 20:31, 5.4, 0.0012
2013/02/13 06:29, 5.4, 0.016
2013/02/13 09:41, 5.4, 0.0054
2013/06/16 13:51, 6.4, 1.7
2013/06/16 14:33, 6.7, 1.7
2013/06/16 15:49, 6.6, 1.8
2013/06/16 20:47, 6.5, 1.8
2013/06/16 22:44, 6.6, 1.8
2013/06/17 01:41, 6.2, 1.7
2013/06/17 14:33, 6.7, 1.9
2013/06/17 21:09, 6.5, 1.8
2013/06/17 23:32, 6.7, 1.9
2013/06/18 03:02, 6.6, 1.8
2013/06/18 06:56, 6.4, 1.9
2013/06/18 15:03, 6.5, 1.8
2013/06/19 14:38, 6.5, 1.9
2013/06/19 16:01, 6.3, 1.9
2013/08/30 23:12, 7.9, 3.6
2013/08/31 01:16, 8.2, 3.9
2013/08/31 03:10, 8.1, 3.7
2013/08/31 11:33, 7.9, 3.5
2013/08/31 17:02, 7.9, 3.6
2013/08/31 18:20, 7.4, 3.6
2013/08/31 20:01, 8.1, 3.8
2014/02/19 19:24, 8, 0.37
2014/02/20 00:16, 8.2, 0.0077
2014/02/20 02:26, 8.1, 0.098
2014/02/20 03:13, 8, 0.49
2014/06/17 12:31, 8.7, 1.4
