SampleID,CruiseOrder,BlobYear,Blobsample,BlobClus,SampleDepth,O2class,O2,minO2mass,nclass,NO2NO3,PressureCTD,tempCTD,salnCTD,SigmaTCTD,mdepth,Depths,MM,Months,YYYY,DD,HHMM,FluorSPCTD,FluorWLCTD,PO4,SiO4,MEI,zone,vst_cluster,vst,castmaxdepth,latitude,longitude,date:UTC,time:UTC
P26.2010.06.1000m,1,No,No,No,1000,Suboxic,17.6,17.6,High N,45.4,1001.2,2.8803,34.3842,27.4301,1000 m,1000,6,June,2010,13, 22:36,0.046,0.046,3.22,148.3,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.100m,1,No,No,NS,125,Oxic,191.3,191.3,High N,27.5,125.9,5.3786,33.6708,26.6036,0125 m,125,6,June,2010,13, 22:36,0.053,0.053,2.05,45.8,-0.211,TRN,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.10m,1,No,No,NS,10,Oxic,304.1,304.1,Low N,12,11,7.2889,32.7099,25.6018,0010 m,10,6,June,2010,13, 22:36,0.678,0.678,1.17,17.2,-0.211,SRF,2,vst2,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.1250m,1,No,No,No,1250,Suboxic,19.6,19.6,High N,45.5,1250.7,2.549,34.4559,27.5164,1250 m,1250,6,June,2010,13, 22:36,0.044,0.044,3.26,160.4,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.1500m,1,No,No,No,1500,Dysoxic,29.6,29.6,High N,45.3,1500.9,2.2839,34.5111,27.5828,1500 m,1500,6,June,2010,13, 22:36,0.044,0.044,3.2,167.2,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.150m,1,No,No,NLS,150,Oxic,162.4,162.4,Medium N,32,151.2,4.7586,33.7352,26.7254,0150 m,150,6,June,2010,13, 22:36,0.048,0.048,2.36,56.4,-0.211,TRN,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.2000m,1,No,No,No,2000,Dysoxic,59.5,59.5,High N,43.3,1999.9,1.9185,34.5873,27.6732,2000 m,2000,6,June,2010,13, 22:36,0.041,0.041,3.07,174.3,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.200m,1,No,No,NLS,200,Oxic,113.1,113.1,Medium N,37.1,200.5,4.2178,33.7965,26.8321,0200 m,200,6,June,2010,13, 22:36,0.044,0.044,2.7,70.8,-0.211,TRN,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.25m,1,No,No,NS,25,Oxic,304,304,Low N,12,26.1,7.2632,32.7096,25.6051,0025 m,25,6,June,2010,13, 22:36,0.955,0.955,1.16,17.3,-0.211,SRF,2,vst2,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.3000m,1,No,No,No,3000,Oxic,111.5,111.5,Medium N,39.8,2999,1.5651,34.6572,27.756,3000 m,3000,6,June,2010,13, 22:36,0.037,0.037,2.82,173.1,-0.211,BOT,3,vst3,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.300m,1,No,No,No,300,Dysoxic,57.6,57.6,High N,41.6,301.1,4.0259,33.9401,26.9661,0300 m,300,6,June,2010,13, 22:36,0.047,0.047,3.07,87.9,-0.211,TRN,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.4000m,1,No,No,No,4000,Oxic,136.7,136.7,Medium N,38.2,4000.5,1.5002,34.6803,27.7793,4000 m,4000,6,June,2010,13, 22:36,0.034,0.034,2.68,171.8,-0.211,BOT,3,vst3,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.400m,1,No,No,No,400,Dysoxic,36.6,36.6,High N,43,400.3,3.9422,34.0597,27.0698,0400 m,400,6,June,2010,13, 22:36,0.046,0.046,3.11,102.9,-0.211,TRN,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.50m,1,No,No,NS,50,Oxic,302.7,302.7,Low N,12.1,51,7.1811,32.7097,25.6164,0050 m,50,6,June,2010,13, 22:36,1.005,1.005,1.18,17.2,-0.211,SRF,2,vst2,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.600m,1,No,No,No,600,Dysoxic,22.6,22.6,High N,44.5,600.6,3.5535,34.2066,27.2255,0600 m,600,6,June,2010,13, 22:36,0.046,0.046,3.19,122.3,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.06.800m,1,No,No,No,800,Suboxic,19.9,19.9,High N,45,799.8,3.1755,34.3093,27.3433,0800 m,800,6,June,2010,13, 22:36,0.046,0.046,3.24,136.9,-0.211,OMZ,1,vst1,4319.3,50'00.01,144'59.86,13-Jun,22:35
P26.2010.08.1000m,2,No,No,No,1000,Suboxic,15,15,High N,45.1,1000.2,2.8804,34.3848,27.4305,1000 m,1000,8,August,2010,26, 23:30,0.073,0.073,3.23,145.9,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.100m,2,No,No,NS,100,Oxic,268.1,268.1,Low N,18.5,101.2,5.4203,33.0317,26.0928,0100 m,100,8,August,2010,26, 23:30,0.162,0.162,1.56,26.9,-1.662,SRF,4,vst4,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.10m,2,No,No,NS,10,Oxic,262.6,262.6,Low N,8.2,11.1,13.5757,32.5993,24.4453,0010 m,10,8,August,2010,26, 23:30,2.075,2.075,0.93,13.4,-1.662,SRF,2,vst2,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.1250m,2,No,No,No,1250,Suboxic,18,18,High N,44.7,1251.2,2.5515,34.4536,27.5143,1250 m,1250,8,August,2010,26, 23:30,0.073,0.073,3.24,157.2,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.1500m,2,No,No,No,1500,Dysoxic,28.1,28.1,High N,44.4,1500.1,2.2748,34.5123,27.5845,1500 m,1500,8,August,2010,26, 23:30,0.073,0.073,3.2,164.7,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.150m,2,No,No,NLS,150,Oxic,157.3,157.3,Medium N,31.9,151.5,4.6083,33.7275,26.7357,0150 m,150,8,August,2010,26, 23:30,0.078,0.078,2.38,57.9,-1.662,TRN,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.2000m,2,No,No,No,2000,Dysoxic,57.3,57.3,High N,42.9,2001.1,1.92,34.5865,27.6724,2000 m,2000,8,August,2010,26, 23:30,0.073,0.073,3.08,171.1,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.200m,2,No,No,NLS,200,Oxic,129.1,129.1,Medium N,35.4,202.4,4.2441,33.7635,26.8032,0200 m,200,8,August,2010,26, 23:30,0.073,0.073,2.57,67.2,-1.662,TRN,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.25m,2,No,No,NS,25,Oxic,296.2,296.2,Low N,8.1,25.7,11.5681,32.6532,24.8727,0025 m,25,8,August,2010,26, 23:30,2.435,2.435,0.94,13,-1.662,SRF,2,vst2,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.3000m,2,No,No,No,3000,Oxic,109.5,NaN,Medium N,39.3,3000.1,1.5716,34.6565,27.755,3000 m,3000,8,August,2010,26, 23:30,0.008,0.008,2.79,170.4,-1.662,BOT,3,vst3,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.300m,2,No,No,No,300,Hypoxic,74.4,74.4,High N,40.4,300.2,3.9802,33.8846,26.9267,0300 m,300,8,August,2010,26, 23:30,0.073,0.073,2.92,84.4,-1.662,TRN,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.4000m,2,No,No,No,4000,Oxic,137.04,NaN,Medium N,37.5,4001,1.4989,34.6813,27.7802,4000 m,4000,8,August,2010,26, 23:30,0.028,0.028,2.65,167.8,-1.662,BOT,3,vst3,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.400m.2,2,No,No,No,400,Dysoxic,37.3,37.3,High N,43.3,399.8,3.8685,34.01,27.0377,0400 m,400,8,August,2010,26, 23:30,0.073,0.073,3.14,98.9,-1.662,TRN,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.50m,2,No,No,NS,50,Oxic,295.2,295.2,Low N,11.5,51.2,7.6752,32.72,25.556,0050 m,50,8,August,2010,26, 23:30,1.651,1.651,1.2,16.8,-1.662,SRF,2,vst2,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.600m,2,No,No,No,600,Dysoxic,20.1,20.1,High N,41.4,600.8,3.5495,34.2047,27.2243,0600 m,600,8,August,2010,26, 23:30,0.073,0.073,3.06,120.6,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.800m,2,No,No,No,800,Suboxic,18.3,18.3,High N,44.5,801.4,3.1771,34.3058,27.3404,0800 m,800,8,August,2010,26, 23:30,0.073,0.073,3.22,134.6,-1.662,OMZ,1,vst1,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2010.08.B.10m,2,No,No,No,4318,Oxic,139.15,NaN,Medium N,37.6,4318.3,1.5191,34.6845,27.7813,B-10 m,B-10,8,August,2010,26, 23:30,0.029,0.029,2.64,172.8,-1.662,BOT,3,vst3,4318.7,50'00.1,144'59.96,26-Aug,20:30
P26.2011.02.1000m,3,No,No,No,1000,Suboxic,17.2,17.2,High N,45,1000.4,2.8408,34.3915,27.4394,1000 m,1000,2,February,2011,15, 23:33,0.026,0.026,3.26,147.5,-1.563,OMZ,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.100m,3,No,No,NS,100,Oxic,269,269,Low N,16.5,98.9,5.598,32.8758,25.9486,0100 m,100,2,February,2011,15, 23:33,0.554,0.554,1.45,23.6,-1.563,SRF,4,vst4,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.10m,3,No,No,NS,10,Oxic,304.3,304.3,Low N,13.9,9.6,5.6376,32.6576,25.7714,0010 m,10,2,February,2011,15, 23:33,1.719,1.719,1.31,19.4,-1.563,SRF,4,vst4,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.1250m,3,No,No,No,1250,Suboxic,18.8,18.8,High N,45.3,1250.2,2.5485,34.4558,27.5163,1250 m,1250,2,February,2011,15, 23:33,0.029,0.029,3.28,157.7,-1.563,OMZ,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.2000m,3,No,No,No,2000,Hypoxic,60.1,60.1,Low N,43,2000,1.8968,34.5912,27.678,2000 m,2000,2,February,2011,15, 23:33,0.024,0.024,3.08,172,-1.563,OMZ,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.25m,3,No,No,NS,25,Oxic,304,304,Low N,14,23.9,5.6431,32.6584,25.7714,0025 m,25,2,February,2011,15, 23:33,1.689,1.689,1.31,19.5,-1.563,SRF,4,vst4,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.300m,3,No,No,No,300,Dysoxic,50.9,50.9,High N,42.6,301,3.9721,33.943,26.9739,0300 m,300,2,February,2011,15, 23:33,0.046,0.046,3.04,90.9,-1.563,TRN,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.400m,3,No,No,No,400,Dysoxic,34.8,34.8,High N,43.4,401.2,3.8554,34.0681,27.0853,0400 m,400,2,February,2011,15, 23:33,0.024,0.024,3.13,103.9,-1.563,TRN,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.50m,3,No,No,NS,50,Oxic,303.6,303.6,Low N,14,49.2,5.6431,32.6607,25.7732,0050 m,50,2,February,2011,15, 23:33,1.692,1.692,1.31,19.5,-1.563,SRF,4,vst4,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.600m,3,No,No,No,600,Dysoxic,20.4,20.4,High N,45,601.6,3.4523,34.2327,27.2561,0600 m,600,2,February,2011,15, 23:33,0.024,0.024,3.23,124.7,-1.563,OMZ,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
P26.2011.02.800m,3,No,No,No,800,Suboxic,19,19,High N,45.1,801.4,3.1389,34.3159,27.352,0800 m,800,2,February,2011,15, 23:33,0.024,0.024,3.28,136.4,-1.563,OMZ,1,vst1,4310.8,49'59.77,144'59.79,15-Feb,23:33
