#OTU ID,Domain,Phylum,Phylum_mod,Class,Order,Family,Genus,Species,otulevel
OTU_1173,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_1173
OTU_1170,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_1170
OTU_1034,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_1034
OTU_891,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_891
OTU_558,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_558
OTU_586,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_586
OTU_1290,Bacteria,Acidobacteria,Acidobacteria,Subgroup 26,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,OTU_1290
OTU_187,Bacteria,Acidobacteria,Acidobacteria,Subgroup 26,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,OTU_187
OTU_1348,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,,,,,OTU_1348
OTU_887,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,OTU_887
OTU_1020,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_1020
OTU_1168,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_1168
OTU_915,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_915
OTU_1312,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_1312
OTU_1291,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_1291
OTU_394,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_394
OTU_820,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_820
OTU_470,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_470
OTU_682,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,,,,OTU_682
OTU_1178,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,OTU_1178
OTU_354,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured bacterium AD248-D7-1A,uncultured bacterium AD248-D7-1A,uncultured bacterium AD248-D7-1A,uncultured bacterium AD248-D7-1A,OTU_354
OTU_1306,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured organism,uncultured organism,uncultured organism,uncultured organism,OTU_1306
OTU_546,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured organism,uncultured organism,uncultured organism,uncultured organism,OTU_546
OTU_219,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured organism,uncultured organism,uncultured organism,uncultured organism,OTU_219
OTU_176,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,uncultured organism,uncultured organism,uncultured organism,uncultured organism,OTU_176
OTU_637,Bacteria,Acidobacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,,OTU_637
OTU_1179,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,,OTU_1179
OTU_609,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium,OTU_609
OTU_13,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured marine bacterium,OTU_13
OTU_115,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured marine eukaryote,OTU_115
OTU_1172,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,uncultured bacterium,OTU_1172
OTU_1368,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,,OTU_1368
OTU_659,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,,OTU_659
OTU_194,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,,OTU_194
OTU_55,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,,OTU_55
OTU_377,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_377
OTU_353,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_353
OTU_501,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_501
OTU_216,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_216
OTU_348,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_348
OTU_155,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,Ambiguous_taxa,OTU_155
OTU_57,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,,OTU_57
OTU_771,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,PeM15,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,OTU_771
OTU_956,Bacteria,AncK6,AncK6,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,OTU_956
OTU_211,Bacteria,AncK6,AncK6,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,OTU_211
OTU_1259,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,,,,,OTU_1259
OTU_1347,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,,,,,OTU_1347
OTU_679,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,,,,,OTU_679
OTU_463,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,,,,,OTU_463
OTU_564,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,,OTU_564
OTU_787,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,,OTU_787
OTU_1302,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Ambiguous_taxa,OTU_1302
OTU_807,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,uncultured Bacteroidetes bacterium,OTU_807
OTU_1374,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,,OTU_1374
OTU_1147,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,,OTU_1147
OTU_1299,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,marine metagenome,OTU_1299
OTU_554,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured marine bacterium,OTU_554
OTU_233,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,OTU_233
OTU_1083,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,uncultured bacterium,OTU_1083
